response_id,job_title,gender,age,switched_into_data_career,role_category,country_of_residence,average_of_current_salary,ethnicity,rating_salary,rating_work_life_balance,rating_coworkers,rating_management,rating_upward_mobility,rating_learning,top_priority_when_looking_for_new_job,Highest_Level_of_Education,diificulty_breaking_into_data,favourite_programming_language,industry
62a33e890f8c8599d5af13b9,Data Analyst,Female,33,1,Data Analyst,United States,115500,Asian or Asian American,1,6,9,1,0,2,Remote Work,Unknown,Difficult,Python,Energy & Utilities
62a33e8bf8d5efcc22f7c79a,Data Analyst,Male,43,0,Data Analyst,United States,95500,White or Caucasian,6,7,7,7,7,4,Better Salary,Unknown,Very Easy,Other:Qlik sense script,Healthcare
62a33e90cec54911e9ca5031,Student/Looking/None,Female,23,1,Student/Looking/None,Nigeria,20000,Other,0,0,5,0,0,0,Remote Work,Unknown,Very Difficult,R,Energy & Utilities
62a33e9df8f756164585277b,Student/Looking/None,Male,31,1,Student/Looking/None,United States,53000,Black or African American,10,7,10,10,5,3,Good Work/Life Balance,Unknown,Very Difficult,Python,Finance
62a33eb6bc6861bf3176c5a3,Data Analyst,Male,31,1,Data Analyst,United Kingdom,75500,White or Caucasian,5,6,7,5,4,4,Other (Please Specify):Development,Unknown,Neither easy nor difficult,Python,Finance
62a33ee0bae91e4b8b82eaec,Data Analyst,Male,25,1,Data Analyst,India,20000,Asian or Asian American,8,7,8,7,7,7,Good Work/Life Balance,Unknown,Difficult,Python,Other
62a33ee80f8c8599d5af14b7,Data Engineer,Male,43,0,Data Engineer,United States,137500,White or Caucasian,8,10,10,9,9,9,Better Salary,Unknown,Easy,Other:SQL,Tech
62a33efe0a77c1a77f65bf1e,Data Analyst,Female,26,0,Data Analyst,Canada,53000,Other,2,3,5,5,5,5,Better Salary,Unknown,Difficult,Python,Finance
62a33f0ef408bae018ed3aeb,FP&A Analyst,Male,32,0,Data Analyst,Japan,53000,White or Caucasian,5,10,8,8,8,7,Remote Work,Unknown,Neither easy nor difficult,Python,Other
62a33f17f8f7561645852867,"BI Developer ",Male,31,0,BI / Analytics Developer,Greece,20000,White or Caucasian,2,9,7,7,5,6,Better Salary,Unknown,Difficult,Python,Tech
62a33f52bc6861bf3176c72c,Data Analyst,Male,29,1,Data Analyst,United States,95500,White or Caucasian,3,5,6,4,4,5,Better Salary,Unknown,Neither easy nor difficult,Other:sql,Healthcare
62a33f56cf255543173005e9,Data Analyst,Male,24,1,Data Analyst,Peru,20000,Hispanic or Latino,3,1,3,2,3,1,Good Culture,Unknown,Neither easy nor difficult,Python,Other
62a33f5a5d257a28a30d7bb5,Student/Looking/None,Male,34,1,Student/Looking/None,United States,53000,White or Caucasian,2,0,2,2,0,0,Remote Work,Unknown,Very Difficult,Python,Construction
62a33fa5cec54911e9ca51f1,Data Analyst,Male,42,1,Data Analyst,Australia,53000,Other,5,6,6,5,4,6,Better Salary,Unknown,Very Difficult,Other:Power bi,Other
62a33fcb575fa3a5ae88ad59,Student/Looking/None,Female,40,1,Student/Looking/None,United States,20000,Asian or Asian American,0,0,0,0,0,0,Remote Work,Unknown,Difficult,JavaScript,Student / Not Employed
62a33fcf18134ddc75ce91c3,Student/Looking/None,Male,43,0,Student/Looking/None,Spain,53000,White or Caucasian,3,1,3,4,0,3,Good Work/Life Balance,Unknown,Easy,Python,Retail & E-commerce
62a34006d8c00e9f5419d341,Student/Looking/None,Male,23,1,Student/Looking/None,Kenya,20000,Other,0,0,0,0,0,0,Better Salary,Unknown,Very Difficult,Python,Construction
62a34020575fa3a5ae88ade0,Student/Looking/None,Male,23,1,Student/Looking/None,Japan,20000,Asian or Asian American,5,5,3,5,2,6,Better Salary,Unknown,Difficult,Python,Education
62a34038b4da29969c62eafe,Data Analyst,Male,28,1,Data Analyst,United States,95500,White or Caucasian,8,6,2,3,6,7,"Other (Please Specify):Strong organizational data strategy, high-performing team",Unknown,Neither easy nor difficult,Python,Other
62a3406b575fa3a5ae88ae78,Data Analyst,Male,32,0,Data Analyst,United States,75500,White or Caucasian,5,7,1,1,0,8,Better Salary,Unknown,Neither easy nor difficult,Other:SQL,Finance
62a340cab4da29969c62ec01,Data Analyst,Female,41,1,Data Analyst,United States,75500,White or Caucasian,7,8,10,8,9,9,Remote Work,Unknown,Difficult,R,Other
62a340d62e54c9003e5324b4,Data Analyst,Male,33,1,Data Analyst,United Kingdom,53000,White or Caucasian,5,6,6,6,6,6,Remote Work,High School,Neither easy nor difficult,Python,Finance
62a340e10a77c1a77f65c2e7,"Manager, Business Intelligence Develop",Male,38,1,BI / Analytics Developer,United States,187500,Hispanic or Latino,10,8,9,8,8,10,Good Work/Life Balance,Unknown,Easy,Python,Tech
62a340f5bc6861bf3176caa4,Data Analyst,Female,22,0,Data Analyst,India,20000,Other,8,8,8,8,5,10,Better Salary,Unknown,Easy,Other:sql,Tech
62a34117cec54911e9ca54e7,Student/Looking/None,Male,36,1,Student/Looking/None,Barbados,20000,Black or African American,1,3,6,6,6,9,Remote Work,Bachelors,Difficult,R,Energy & Utilities
62a3413a5d257a28a30d8074,Data Engineer,Female,28,0,Data Engineer,United States,75500,Asian or Asian American,2,1,1,1,3,7,Remote Work,Masters,Easy,Python,Finance
62a341a1f3072dd8926229a5,Student/Looking/None,Male,30,1,Student/Looking/None,South Africa,20000,Other,NULL,NULL,NULL,NULL,NULL,7,Other (Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Unknown,Very Easy,"Other:If SQL is categorised as a programming language then I will definitely say SQL. Since I am still learning, I can't give a definite answer in relation to the abover mentioned but for the sake of choosing I will say R then followed by python",Student / Not Employed
62a341b0f8f7561645852d1d,Data Analyst,Female,24,1,Data Analyst,United States,75500,Hispanic or Latino,6,6,6,6,5,6,Other (Please Specify):Currently very happy with where I am.,Bachelors,Difficult,Python,Tech
62a341e8f8d5efcc22f7d002,"Business Analyst ",Male,29,0,Business Analyst,United States,53000,White or Caucasian,3,6,7,7,0,3,Better Salary,Bachelors,Very Difficult,C/C++,Logistics & Transport
62a34210cf25554317300c02,Data Analyst,Male,29,0,Data Analyst,Colombia,20000,Hispanic or Latino,4,9,10,9,9,10,Better Salary,Associates,Easy,Python,Tech
62a3424eb4da29969c62eedd,Business Analyst,Male,38,1,Business Analyst,Germany,53000,White or Caucasian,6,8,8,7,9,7,Good Work/Life Balance,Masters,Neither easy nor difficult,Python,Other
62a34256bae91e4b8b82f16d,Data Analyst,Male,31,1,Data Analyst,Bulgaria,20000,White or Caucasian,3,5,4,3,3,3,Good Work/Life Balance,Masters,Difficult,Other:I don’t know any,Finance
62a3426cf408bae018ed409b,Student/Looking/None,Male,25,0,Student/Looking/None,United States,20000,White or Caucasian,1,4,5,5,1,1,Better Salary,Masters,Difficult,Python,Tech
62a34272f8d5efcc22f7d15f,Data Analyst,Male,24,0,Data Analyst,United States,75500,White or Caucasian,4,6,4,5,4,4,Better Salary,Masters,Neither easy nor difficult,Python,Retail & E-commerce
62a34340bc6861bf3176d05b,Business Intelligence Consultant,Male,28,1,BI / Analytics Developer,Turkey,53000,White or Caucasian,6,7,4,3,9,8,Better Salary,Bachelors,Difficult,Python,Tech
62a34383b4da29969c62f1be,Student/Looking/None,Female,23,0,Student/Looking/None,India,20000,Asian or Asian American,7,5,8,0,0,0,Good Culture,Bachelors,Neither easy nor difficult,Python,Tech
62a34389cec54911e9ca5a22,Data Engineer,Male,21,0,Data Engineer,Spain,20000,Hispanic or Latino,2,3,2,5,5,7,Remote Work,Masters,Neither easy nor difficult,R,Tech
62a343a22e54c9003e532a2a,Data Analyst,Male,29,0,Data Analyst,France,20000,Other,4,4,4,4,5,6,Remote Work,Bachelors,Neither easy nor difficult,Python,Energy & Utilities
62a343d9f3072dd892622fe4,Data Analyst,Male,25,1,Data Analyst,United States,53000,Asian or Asian American,5,6,7,7,7,6,Better Salary,Bachelors,Difficult,Python,Tech
62a34400d8c00e9f5419dc2b,Data Analyst,Male,27,0,Data Analyst,Germany,53000,Black or African American,6,6,6,6,3,5,Good Culture,Masters,Difficult,Python,Tech
62a34425f8d5efcc22f7d525,Data Analyst,Male,23,1,Data Analyst,India,53000,Asian or Asian American,3,9,10,8,9,9,Better Salary,Bachelors,Easy,Python,Tech
62a34449575fa3a5ae88b637,"Sr. Supply Chain Analyst ",Male,32,0,Data Analyst,United States,95500,Asian or Asian American,4,3,3,5,5,5,Better Salary,Masters,Difficult,R,Other
62a3445dcf255543173011e1,Student/Looking/None,Male,22,1,Student/Looking/None,India,115500,Asian or Asian American,5,5,7,5,7,7,Remote Work,Bachelors,Neither easy nor difficult,Python,Healthcare
62a3447a575fa3a5ae88b6c0,Data Analyst,Male,25,0,Data Analyst,Thailand,20000,Asian or Asian American,2,9,9,8,6,2,Better Salary,Bachelors,Easy,Python,Tech
62a3449f7dc029e2d66bf5d1,Data Analyst,Female,36,1,Data Analyst,Germany,20000,White or Caucasian,2,8,6,6,5,5,Remote Work,Masters,Neither easy nor difficult,Python,Retail & E-commerce
62a344c5f408bae018ed4806,Data Analyst,Female,27,1,Data Analyst,United States,115500,White or Caucasian,10,6,9,5,8,7,Good Work/Life Balance,Bachelors,Easy,Other:SQL,Tech
62a344c6f8d5efcc22f7d6e1,"Business analyst ",Male,23,1,Business Analyst,India,20000,Asian or Asian American,5,5,5,5,5,1,"Other (Please Specify):My passion is to become a Data analyst ",Bachelors,Neither easy nor difficult,Python,Tech
62a344e1f3072dd892623328,Student/Looking/None,Male,26,1,Student/Looking/None,Netherlands,20000,Black or African American,2,3,3,3,3,6,Better Salary,Bachelors,Very Difficult,Other:Sql,Tech
62a3450424a262602738357f,Director of Data Analytics,Female,33,0,Management,United States,95500,Hispanic or Latino,9,10,10,10,10,10,Good Work/Life Balance,PhD,Very Easy,Python,Healthcare
62a3452818134ddc75ce9e1b,Data Analyst,Male,27,1,Data Analyst,Turkey,115500,White or Caucasian,3,5,3,3,5,5,Better Salary,Masters,Easy,Python,Other
62a345490a77c1a77f65cc5b,Data Analyst,Male,42,1,Data Analyst,United States,53000,White or Caucasian,3,6,5,4,3,4,Better Salary,Associates,Neither easy nor difficult,R,Education
62a3455bbc6861bf3176d57a,Data Analyst,Male,29,1,Data Analyst,Spain,20000,White or Caucasian,6,7,8,7,7,8,Good Work/Life Balance,Masters,Easy,Python,Tech
62a3457bf8d5efcc22f7da17,Data Analyst,Female,27,0,Data Analyst,United States,137500,Asian or Asian American,4,7,6,4,2,4,Better Salary,Masters,Easy,Python,Tech
62a345b2bae91e4b8b82fad6,Student/Looking/None,Female,39,0,Student/Looking/None,United States,53000,Hispanic or Latino,0,10,10,10,4,2,Remote Work,Bachelors,Neither easy nor difficult,Python,Healthcare
62a345c47dc029e2d66bf80a,Data Analyst,Male,31,1,Data Analyst,Denmark,53000,White or Caucasian,6,6,7,5,6,7,Good Culture,Masters,Difficult,Python,Retail & E-commerce
62a345e25d257a28a30d8b43,Data Analyst,Male,29,1,Data Analyst,Brazil,75500,Hispanic or Latino,7,7,5,9,7,8,Good Work/Life Balance,Bachelors,Easy,Python,Marketing & Media
62a34646f8d5efcc22f7dc5c,Data Analyst,Male,31,1,Data Analyst,United States,75500,White or Caucasian,7,7,7,7,4,7,Remote Work,Masters,Easy,R,Education
62a34687f408bae018ed4c52,Data Analyst,Male,30,1,Data Analyst,Mexico,20000,Hispanic or Latino,10,9,9,10,9,10,Good Culture,Masters,Neither easy nor difficult,Python,Finance
62a346a37dc029e2d66bfa6d,Data Engineer,Male,33,1,Data Engineer,Mexico,20000,Hispanic or Latino,7,8,6,5,5,9,Better Salary,Masters,Difficult,Python,Tech
62a346a95d257a28a30d8cb9,Data Analyst,Male,25,0,Data Analyst,United States,75500,White or Caucasian,7,8,9,7,7,7,Better Salary,Bachelors,Neither easy nor difficult,Python,Retail & E-commerce
62a346b4bc6861bf3176d7ce,Student/Looking/None,Male,23,0,Student/Looking/None,India,20000,Other,0,0,0,0,0,0,Good Work/Life Balance,Bachelors,Neither easy nor difficult,R,Tech
62a346cef8f756164585385b,Data Analyst,Male,33,1,Data Analyst,United States,53000,Asian or Asian American,4,4,3,3,5,6,Better Salary,Bachelors,Very Difficult,Other:Dont require,Marketing & Media
62a346d724a2626027383abd,Business Analyst,Male,35,1,Business Analyst,Chile,75500,Hispanic or Latino,7,9,9,8,8,9,Good Work/Life Balance,Bachelors,Neither easy nor difficult,Python,Logistics & Transport
62a346d90a77c1a77f65d08d,Data Analyst,Female,42,0,Data Analyst,Greece,53000,White or Caucasian,6,8,5,NULL,6,9,Remote Work,Masters,Neither easy nor difficult,Python,Other
62a34726f8d5efcc22f7dec7,Data Analyst,Male,25,0,Data Analyst,United States,75500,White or Caucasian,3,4,2,1,0,4,Better Salary,Bachelors,Neither easy nor difficult,Python,Tech
62a3476c5d257a28a30d8e6d,Data Analyst,Male,23,0,Data Analyst,United States,95500,White or Caucasian,5,4,5,4,3,6,"Other (Please Specify):Different job title, either product owner or consulting",Bachelors,Neither easy nor difficult,Python,Other
62a347b4f8f7561645853a98,Learning Management Specialist,Female,51,0,Other,United States,53000,Black or African American,2,4,6,5,3,4,Better Salary,Bachelors,Easy,JavaScript,Healthcare
62a347f6b4da29969c62fb79,Data Analyst,Male,30,0,Data Analyst,United Kingdom,20000,Black or African American,1,4,4,3,2,6,Better Salary,Bachelors,Very Difficult,Other,Retail & E-commerce
62a3483018134ddc75cea4e6,Data Analyst,Male,23,1,Data Analyst,India,53000,Asian or Asian American,8,9,9,9,9,8,Better Salary,Bachelors,Very Difficult,Python,Finance
62a348650f8c8599d5af2b77,Research Analyst,Male,24,1,Data Analyst,Canada,53000,Asian or Asian American,3,5,5,6,3,4,Better Salary,Bachelors,Neither easy nor difficult,R,Marketing & Media
62a3489318134ddc75cea659,Student/Looking/None,Male,25,1,Student/Looking/None,Australia,53000,Asian or Asian American,6,6,6,6,6,6,Good Culture,Masters,Easy,Python,Tech
62a348bf2e54c9003e533634,Data Analyst,Female,55,1,Data Analyst,United States,53000,Other,4,4,6,4,5,6,Better Salary,Masters,Difficult,Python,Finance
62a348c2f3072dd892623c10,Data Analyst,Female,30,0,Data Analyst,United States,95500,White or Caucasian,8,10,8,7,8,10,Remote Work,Masters,Very Easy,R,Other
62a348f2f8d5efcc22f7e2ba,Data Analyst,Male,25,1,Data Analyst,Canada,53000,Asian or Asian American,9,9,9,9,7,4,Better Salary,Bachelors,Difficult,Python,Consulting
62a349160a77c1a77f65d4db,Data Analyst,Male,28,1,Data Analyst,United States,75500,White or Caucasian,6,9,7,6,7,7,Better Salary,Masters,Neither easy nor difficult,Python,Other
62a3493fb4da29969c62fe63,Insights analyst,Male,34,1,Data Analyst,United Kingdom,53000,White or Caucasian,8,8,9,9,10,10,Better Salary,Bachelors,Very Easy,Python,Consulting
62a3496e575fa3a5ae88c4e6,Data Analyst,Female,28,1,Data Analyst,Costa Rica,20000,Hispanic or Latino,8,10,9,9,10,8,Better Salary,Bachelors,Neither easy nor difficult,Python,Tech
62a3498e575fa3a5ae88c554,Student/Looking/None,Male,24,0,Student/Looking/None,Vietnam,20000,Asian or Asian American,7,9,7,8,8,10,Better Salary,Bachelors,Neither easy nor difficult,Other,Other
62a34991b4da29969c62ff4b,Student/Looking/None,Male,31,1,Student/Looking/None,United States,20000,Black or African American,3,7,7,7,1,2,Better Salary,Masters,Difficult,Python,Healthcare
62a349bbf8f756164585400d,Data Analyst,Male,25,1,Data Analyst,Canada,53000,Asian or Asian American,3,6,6,6,4,4,Better Salary,Bachelors,Easy,Other:Knowledge of Excel and SQL yet,Logistics & Transport
62a349c7cec54911e9ca67c7,Data Analyst,Female,38,1,Data Analyst,United States,115500,White or Caucasian,5,1,4,3,3,4,Better Salary,Bachelors,Easy,Python,Finance
62a349d5d8c00e9f5419ead2,Data Analyst,Male,30,0,Data Analyst,Netherlands,53000,Hispanic or Latino,5,5,5,5,4,5,Good Culture,Bachelors,Neither easy nor difficult,Python,Finance
62a349e6b4da29969c63000c,Data Analyst,Male,25,1,Data Analyst,India,20000,Asian or Asian American,0,0,0,2,2,5,Good Work/Life Balance,Bachelors,Neither easy nor difficult,C/C++,Tech
62a34a03cec54911e9ca6869,Data Analyst,Female,29,1,Data Analyst,Nigeria,20000,Black or African American,1,2,1,5,6,6,Better Salary,Bachelors,Neither easy nor difficult,Python,Tech
62a34ab15d257a28a30d9589,Data Scientist,Male,21,1,Data Scientist,Portugal,187500,White or Caucasian,7,5,3,6,4,4,Good Work/Life Balance,Masters,Difficult,Python,Finance
62a34abc0f8c8599d5af31c5,Data Analyst,Female,39,1,Data Analyst,United States,75500,Asian or Asian American,5,8,8,7,6,7,Remote Work,Bachelors,Very Easy,Other:SQL,Logistics & Transport
62a34b07cec54911e9ca6b6e,Student/Looking/None,Male,25,0,Student/Looking/None,Turkey,20000,White or Caucasian,0,0,0,0,0,5,Better Salary,Bachelors,Neither easy nor difficult,Python,Other
62a34b0eb4da29969c6302ce,Does a social media analyst count?,Female,42,1,Data Analyst,United States,95500,Hispanic or Latino,7,9,10,6,4,4,"Other (Please Specify):Opportunity for advancement ",Masters,Neither easy nor difficult,Other:I don't use programming in my role,Finance
62a34b1b0f8c8599d5af328b,Data Analyst,Male,25,0,Data Analyst,United States,53000,White or Caucasian,10,8,9,10,10,10,Better Salary,Bachelors,Easy,R,Tech
62a34b5b5d257a28a30d96a6,Data Scientist,Male,22,0,Data Scientist,United States,95500,White or Caucasian,8,7,6,6,5,9,Better Salary,Bachelors,Neither easy nor difficult,Python,Finance
62a34b7ebae91e4b8b83076c,Data Analyst,Male,23,0,Data Analyst,Colombia,20000,Hispanic or Latino,1,4,4,3,NULL,5,Better Salary,High School,Easy,Python,Other
62a34b99cec54911e9ca6e14,Data Engineer,Male,25,1,Data Engineer,Egypt,53000,Other,6,6,6,6,6,6,Good Culture,High School,Difficult,JavaScript,Retail & E-commerce
62a34bb0f3072dd892624210,Data Engineer,Male,45,1,Data Engineer,Canada,75500,White or Caucasian,5,7,7,6,6,7,Better Salary,Masters,Neither easy nor difficult,Python,Consulting
62a34bd0cf2555431730208b,Data Analyst,Male,24,1,Data Analyst,United States,75500,White or Caucasian,7,3,8,6,8,8,Good Work/Life Balance,Bachelors,Easy,Other:Excel/SQL,Healthcare
62a34bd4f408bae018ed57bd,Student/Looking/None,Male,25,0,Student/Looking/None,United States,20000,Black or African American,1,9,6,0,0,0,Better Salary,Unknown,Difficult,R,Government & Public Sector
62a34c66b4da29969c6305af,Data Analyst,Male,26,1,Data Analyst,United States,75500,White or Caucasian,9,8,9,9,8,8,Good Work/Life Balance,Bachelors,Difficult,Python,Marketing & Media
62a34d1ff8f756164585465c,Data Analyst,Male,23,0,Data Analyst,Canada,53000,Asian or Asian American,4,7,8,8,5,7,Better Salary,Bachelors,Easy,R,Tech
62a34d4118134ddc75ceb0ed,Student/Looking/None,Female,42,1,Student/Looking/None,United Kingdom,20000,White or Caucasian,1,1,1,0,0,3,Remote Work,Masters,Difficult,Python,Other
62a34da0f408bae018ed5abd,Educator,Female,42,1,Other,United States,53000,Black or African American,0,0,2,0,0,0,Good Work/Life Balance,Bachelors,Very Difficult,Other:unknown,Education
62a34dbb5d257a28a30d9a61,Business Analyst,Male,25,0,Business Analyst,India,20000,Asian or Asian American,0,6,5,5,3,1,Better Salary,Masters,Neither easy nor difficult,Python,Tech
62a34e00f8f7561645854954,Data Analyst,Male,38,1,Data Analyst,United States,95500,White or Caucasian,8,10,10,10,2,7,Remote Work,Masters,Easy,R,Tech
62a34e082e54c9003e534118,Business Intelligence Engineer,Male,24,0,BI / Analytics Developer,Costa Rica,20000,Hispanic or Latino,5,6,6,6,6,4,Better Salary,Bachelors,Easy,Python,Tech
62a34eb7bc6861bf3176e6d8,Data Analyst,Male,28,1,Data Analyst,United States,75500,White or Caucasian,7,10,10,10,8,10,Good Work/Life Balance,Bachelors,Neither easy nor difficult,R,Education
62a34f2af8f7561645854c1c,Data Analyst,Male,21,0,Data Analyst,United States,53000,Asian or Asian American,1,2,8,7,0,0,Better Salary,Bachelors,Difficult,Python,Healthcare
62a34f3bf408bae018ed5e42,Data Analyst,Male,39,1,Data Analyst,United States,115500,White or Caucasian,10,10,10,10,10,10,Good Culture,Masters,Very Easy,R,Healthcare
62a34fa418134ddc75ceb509,Data Analyst,Male,23,1,Data Analyst,Pakistan,20000,Asian or Asian American,4,5,5,5,6,8,Good Work/Life Balance,Bachelors,Difficult,Python,Tech
62a34fbacec54911e9ca776f,Data Analyst,Female,23,0,Data Analyst,Australia,20000,White or Caucasian,1,6,4,3,5,6,Good Work/Life Balance,Bachelors,Neither easy nor difficult,R,Government & Public Sector
62a34fc3f3072dd892624a45,Data Analyst,Male,30,1,Data Analyst,United States,75500,White or Caucasian,8,9,8,7,7,8,Good Work/Life Balance,Masters,Neither easy nor difficult,R,Logistics & Transport
62a34ff1f408bae018ed601d,Data Analyst,Male,26,0,Data Analyst,Ireland,53000,White or Caucasian,2,6,2,3,2,2,Better Salary,Masters,Easy,Python,Other
62a34ff4f3072dd892624b32,Data Analyst,Male,37,1,Data Analyst,United States,53000,White or Caucasian,3,6,4,6,4,6,Better Salary,Bachelors,Neither easy nor difficult,R,Healthcare
62a3505bd8c00e9f5419f8df,Data Analyst,Female,31,1,Data Analyst,United States,75500,White or Caucasian,3,5,4,5,4,4,Better Salary,Bachelors,Neither easy nor difficult,Python,Healthcare
62a350f7f3072dd892624d05,Data Analyst,Female,25,1,Data Analyst,South Africa,20000,Black or African American,5,2,4,3,3,3,Good Work/Life Balance,Bachelors,Difficult,C/C++,Finance
62a35130f3072dd892624d9f,Data Analyst,Female,26,1,Data Analyst,Poland,20000,White or Caucasian,2,6,6,5,4,5,Better Salary,Bachelors,Easy,Python,Healthcare
62a351860a77c1a77f65e86b,Data Analyst,Male,30,1,Data Analyst,United States,75500,White or Caucasian,7,8,8,8,8,7,Better Salary,Bachelors,Very Easy,Other:SQL,Healthcare
62a3519b24a262602738514a,Data Analyst,Female,39,1,Data Analyst,United States,75500,Black or African American,9,10,10,10,7,9,Better Salary,Bachelors,Neither easy nor difficult,Python,Tech
62a35236b4da29969c631214,"Research Associate ",Female,28,0,Other,India,20000,Asian or Asian American,1,1,1,0,0,2,Good Work/Life Balance,Masters,Easy,Python,Education
62a352a32e54c9003e534981,Data Analyst,Male,22,1,Data Analyst,United States,75500,Other,8,8,7,7,10,10,Good Work/Life Balance,Bachelors,Very Easy,Other:SQL,Finance
